//==============================================================================
//Monster Set Base
//Repack SCFMT/TitansTech 10.09.03 by Antiferna
//www.antifernamu.com
//------------------------------------------------------------------------------
//Revision 08 May, 2011	
//==============================================================================
//0 - Guards / NPC / Traps
//1 - Spots
//2 - Normal Monster
//3 - Bone King / Golden Monsters
//4 - Blood Castle Monsters / Gate / Others

//=========================================================================================
//	Invasion Golden
//=========================================================================================
//Mob	Map	Radio	CordX	CordY	CordX2	CordY2	Dir 	Quant  Name	
3
43	3	30	10	10	240	240	-1	1 // Golden Budge Dragon => Noria
44	0	30	182	128	195	145	-1	1 // Dragon => Lorencia
53	2	5	147	88	147	88	-1	1 // Golden Titan => Davias
54	0	30	183	128	188	135	-1	1 // Golden Soldier => Lorencia
55	0	30	132	83	132	83	-1	1 // Death King => Lorencia
56	0	30	132	83	138	90	-1	1 // Death Bone => Lorencia
78	0	7	150	68	150	68	-1	1 // Golden Goblin => Lorencia
78	3	7	168	68	168	68	-1	1 // Golden Goblin => Noria
79	0	7	76	139	76	139	-1	1 // Golden Derkon => Lorencia
79	2	7	172	114	172	114	-1	1 // Golden Derkon => Davias
79	3	7	192	154	192	154	-1	1 // Golden Derkon => Noria
81	7	7	145	66	145	66	-1	1 // Golden Vepar => Atlans
81	7	7	106	100	106	100	-1	1 // Golden Vepar => Atlans
80	8	7	142	58	142	58	-1	1 // Golden Lizard King => Tarkan
80	8	7	68	125	68	125	-1	1 // Golden Lizard King => Tarkan
82	8	7	124	71	124	71	-1	1 // Golden Tantalos => Tarkan
82	8	7	72	92	72	92	-1	1 // Golden Tantalos => Tarkan
83	8	7	96	131	96	131	-1	1 // Golden Wheel => Tarkan
end
//=========================================================================================							
//	LorenMarket NPCs					
//=========================================================================================							
//Mob	Map	Rad	X	Y	Str	Name	
0
385	0	0	139	140	1	//Alchemist [Illusion NPC]
450	2	0	226	57	1	//Governor Blossom [Sky Event]
407  	34   	0  	223  	48  	1
end
//=========================================================================================						
//	Devias NPCs						
//=========================================================================================						
//Mob	Map	Rad	X	Y	Str	Name
0
229	2	0	183	30	3	//Marlon
231	2	0	8	77	3	//Thomson Cannel
233	2	0	209	30	1	//Spirit of Archangel
233	2	0	219	9	3	//Spirit of Archangel
235	2	0	183	32	3	//Priest Sevina
240	2	0	218	63	2	//Baz, Storage Guard
241	2	0	215	45	1	//Lawrence, Commander
244	2	0	226	25	3	//Lumen, Barmaid
245	2	0	225	41	3	//Isabel, Wizard
246	2	0	186	47	3	//Zienna
247	2	20	169	39	7	//Crossbow Guard
247	2	20	169	45	7	//Crossbow Guard
247	2	20	219	79	5	//Crossbow Guard
247	2	20	224	79	5	//Crossbow Guard
256	2	0	191	17	3	//Lahap
257	2	0	219	76	3	//Elf Soldier
258	2	0	225	60	2	//Leo, the Helper
371	2	0	212	63	2	//Elite Soldier
379	2	0	13	28	2	//Fireworks Girl
379	2	0	17	29	2	//Fireworks Girl
379	2	0	20	29	2	//Fireworks Girl
379	2	0	13	23	4	//Fireworks Girl
379	2	0	17	22	4	//Fireworks Girl
379	2	0	20	22	4	//Fireworks Girl
522	2	0	229	221	1	//Imperial Guardian Npc
253	2	0	209	53	2	//Amy, Potion Girl
522	2	0	229	221	1	//nguoiguicong
479	2	0	216	47	3	//Gatekeeper Titus
546	2	0	209	59	3	//thung nhan Rauul

414	2	0	195	47	3	// Elegance Allen
543     2       0       215     49      3	//Gens Duprian
//478	2	0	186	41	2	//Lucky Coins
248	2	0	203	53	2	//ke ban dao
230	2	0	207	53	2	//Alex
385	2	0	11	26	3	//nguoiguicong
450	2	0	220	67	3	//Governor Blossom
385	2	0	204	61	1	//Alchemist [Illusion NPC]
end

//=========================================================================================						
//	Noria NPCs						
//=========================================================================================						
//Mob	Map	Rad	X	Y	Str	Name
0
237	3	0	171	104	3	//Charon
238	3	0	180	103	1	//Chaos Goblin
240	3	0	172	96	3	//Baz, Storage Guard
242	3	0	173	125	1	//Elf Lala
243	3	0	195	124	2	//Eo, Craftsman 
257	3	0	167	118	1	//Elf Soldier
452	3	0	171	100	3	//Hour Research
453	3	0	166	99	3	//Seed Spear Research
544     3       0       171     108     3	//Gens Vanert Steward
253	3	0	171	120	2	//Amy, Potion Girl
253	3	0	44	105	2	//Amy, Potion Girl
450	3	0	174	121	2	//Governor Blossom [Sky Event]
379	3	0	169	111	3	//Fireworks Girl
256	3	0	172	97	3	//JewelMix	
end												

//=========================================================================================						
//	Lost Tower NPCs						
//=========================================================================================						
//Mob	Map	Rad	X	Y	Str	Name
0
240	4	0	203	73	3	//Baz, Storage Guard
end

//=========================================================================================						
//	Stadium NPCs						
//=========================================================================================						
//Mob	Map	Rad	X	Y	Str	Name
0						
200	6	6	63	160	1	//Soccer Ball
239	6	6	72	164	1	//Stadium Guard
240	6	0	63	49	1	//Storage Guard
247	6	0	60	117	1	//Crossbow Guard
247	6	0	66	117	1	//Crossbow Guard
247	6	0	102	114	7	//Crossbow Guard
247	6	0	102	116	7	//Crossbow Guard
247	6	0	102	118	7	//Crossbow Guard
end

//=========================================================================================						
//	Icarus NPCs						
//=========================================================================================						
//Mob	Map	Rad	X	Y	Str	Name
//NONE

//=========================================================================================						
//	Aida NPCs						
//=========================================================================================						
//Mob	Map	Rad	X	Y	Str	Name
0						
369	33	0	80	14	3	//Osborne
370	33	0	86	13	2	//Jeridon
368	33	0	74	11	3	//elpis
end						


//=========================================================================================						
//	Kantru NPCs						
//=========================================================================================						
//Mob	Map	Rad	X	Y	Str	Name
0						
367	38	0	141	191	2	//Equipment
368   	39      0       77      177 	2       //Elpis
end

//=========================================================================================							
//	Illusion Temple 1 NPCs						
//=========================================================================================							
//Mob	Map	Rad	X	Y	Str	Name	
0
380	45	0	207	47	2       //Statue
380	45	0	134     121 	2       //Statue
381     45      0       140     61 	2       //Sword Guard
382	45	0	195	116	2	//Illusion Guard
383	45	0	139	59	2       //Pedestal Spiral
383     45      0       192     116 	2       //Pedestal
end

//=========================================================================================							
//	Illusion Temple 2 NPCs						
//=========================================================================================							
//Mob	Map	Rad	X	Y	Str	Name	
0
380	46	0	207	47	2       //Statue
380	46	0	134     121 	2       //Statue
381     46      0       140     61 	2       //Sword Guard
382	46	0	195	116	2	//Illusion Guard
383	46	0	139	59	2       //Pedestal Spiral
383     46      0       192     116 	2       //Pedestal
end

//=========================================================================================							
//	Illusion Temple 3 NPCs						
//=========================================================================================							
//Mob	Map	Rad	X	Y	Str	Name	
0
380	47	0	207	47	2       //Statue
380	47	0	134     121 	2       //Statue
381     47      0       140     61 	2       //Sword Guard
382	47	0	195	116	2	//Illusion Guard
383	47	0	139	59	2       //Pedestal Spiral
383     47      0       192     116 	2       //Pedestal    
end

//=========================================================================================							
//	Illusion Temple 4 NPCs						
//=========================================================================================							
//Mob	Map	Rad	X	Y	Str	Name	
0
380	48	0	207	47	2       //Statue
380	48	0	134     121 	2       //Statue
381     48      0       140     61 	2       //Sword Guard
382	48	0	195	116	2	//Illusion Guard
383	48	0	139	59	2       //Pedestal Spiral
383     48      0       192     116 	2       //Pedestal
end

//=========================================================================================							
//	Illusion Temple 5 NPCs						
//=========================================================================================							
//Mob	Map	Rad	X	Y	Str	Name	
0
380	49	0	207	47	2       //Statue
380	49	0	134     121 	2       //Statue
381     49      0       140     61 	2       //Sword Guard
382	49	0	195	116	2	//Illusion Guard
383	49	0	139	59	2       //Pedestal Spiral
383     49      0       192     116 	2       //Pedestal
end

//=========================================================================================							
//	Illusion Temple 6 NPCs						
//=========================================================================================							
//Mob	Map	Rad	X	Y	Str	Name	
0
380	50	0	207	47	2       //Statue
380	50	0	134     121 	2       //Statue
381     50      0       140     61 	2       //Sword Guard
382	50	0	195	116	2	//Illusion Guard
383	50	0	139	59	2       //Pedestal Spiral
383     50      0       192     116 	2       //Pedestal
end

//=========================================================================================							
//	Elbeland NPCs					
//=========================================================================================							
//Mob	Map	Rad	X	Y	Str	Name	
0
415	51	0	44	230	1	//Sivia
417	51	0	37	219	1	//Marseille
253	51	0	34	240	1	//Potion Girl
416	51	0	37	242	1	//Leah
240	51	0	22	224	1	//Baz, Storage Guard
246	51	0	28	237	2	//Zienna, Weapon Merchant
257	51	0	100	218	1	//Elf Soldier
257	51	0	45	164	1	//Elf Soldier
540	51	0	49	216	1	//Double Goer
end

//=========================================================================================							
//	Santas Map						
//=========================================================================================							
//Mob	Map	Rad	X	Y	Str	Name	
0
//467	62	0	202	41	3	//Snow Man
468	62	0	236	9	1	//Little Santa Yellow
469	62	0	205	9	1	//Little Santa Green
470	62	0	222	25	1	//Little Santa Red
471	62	0	224	14	1	//Little Santa Blue
472	62	0	202	33	1	//Little Santa White
473	62	0	232	39	1	//Little Santa Black
474	62	0	217	44	1	//Little Santa Orange
475	62	0	191	24	1	//Little Santa Pink
467	62	0	229	40	2	//Snow Man
//465	62	0	229	40	2	//Santa Claus bug ve santa
end

//=========================================================================================							
//	Vulcan NPCs					
//=========================================================================================							
//Mob	Map	Rad	X	Y	Str	Name	
0
479	63	0	122	135	1	//Gatekeeper Titus
end

//=========================================================================================									
//================================= Lorencia Monsters - ==================================									
//=========================================================================================									
//Mob	Map	Radio	CordX	CordY	CordX2	CordY2	Dir 	Quant  Name
1	
1	0	10	193	129	193	129	-1	10	//Month Rabbit	
1	0	10	178	128	181	128	-1	10	//Month Rabbit
4	0	10	189	114	189	114	-1	10	//Month Rabbit
4	0	10	182	94	182	94	-1	10	//Month Rabbit
1	0	10	132	177	132	177	-1	10	//Month Rabbit
4	0	10	161	191	139	201	-1	10	//
6	0	10	140	76	140	76	-1	10	//
6	0	10	146	57	146	57	-1	10	//

//275	0	30	61 	113 	61 	115	-1	5	//
//446	0	30	88 	122 	81 	122	-1	10	//
//446	0	10	59	135	50	139	-1	32	//
//446	0	10	93	128	93	125	-1	32	//
//445	0	30	87	120	83	116	-1	32	//
//445	0	30	76 	111 	68 	108	-1	32	//
//444	0	30	89 	138 	84 	139	-1	32	//
//446	0	30	77	138	73	133	-1	32	//
//297	0	30	60	136	65	135	-1	32	//
//68	0	30	62	124	62	128	-1	6	//Boss Monter
end

//=========================================================================================							
//================================= Dungeon Monsters - ===================================							
//=========================================================================================							
//Mob	Map	Radio	CordX	CordY	Strong	Name	
2							
5	1	30	236	123	-1	//Elite Yeti
8	1	30	236	123	-1	//Elite Yeti
9	1	30	236	123	-1	//Elite Yeti
10	1	30	236	123	-1	//Elite Yeti
11	1	30	236	123	-1	//Elite Yeti
12	1	30	236	123	-1	//Elite Yeti
13	1	30	236	123	-1	//Elite Yeti
14	1	30	236	123	-1	//Elite Yeti
15	1	30	236	123	-1	//Elite Yeti
16	1	30	236	123	-1	//Elite Yeti
17	1	30	236	123	-1	//Elite Yeti
18	1	30	236	123	-1	//Elite Yeti
14	1	30	236	123	-1	//Elite Yeti
15	1	30	236	123	-1	//Elite Yeti
16	1	30	236	123	-1	//Elite Yeti
17	1	30	236	123	-1	//Elite Yeti
18	1	30	236	123	-1	//Elite Yeti
end
//=========================================================================================										
//================================= Devias Monsters - ====================================										
//=========================================================================================										
//Mob	Map	Radio	CordX	CordY	CordX2	CordY2	Dir	Quant	Name	
1
25	2	30	196	221	195	221	-1	10	//Yeti										
23	2	10	216	216	216	216	-1	10	//Hommerd
23	2	10	225	220	225	220	-1	10	//Hommerd
25	2	10	238	215	238	215	-1	10	//Worm
25	2	10	215	185	215	185	-1	10	//Worm
23	2	10	223	84	223	84	-1	10	//Worm
19	2	10	212	84	212	84	-1	10	//Worm
20	2	10	163	42	163	42	-1	10	//Worm
21	2	0	37	36	37	36	-1	10	//Worm
22	2	0	51	26	51	26	-1	10	//Worm
23	2	0	67	24	67	24	-1	10	//Worm
20	2	0	242	197	242	197	-1	10	//Worm
21	2	0	139	185	139	185	-1	10	//Worm
23	2	0	198	232	198	232	-1	10	//Worm
21	2	0	200	241	200	241	-1	10	//Worm

end
//=========================================================================================							
//================================= Noria Monsters - ====================================							
//=========================================================================================							
//Mob	Map	Radio	CordX	CordY	CordX2	CordY2	Dir	Quant	Name	
1										
26	3	5	149	215	145	109	0	10	// goblin
26	3	5	143	119	144	122	0	10	// goblin
32	3	5	60	83	66	90	0	10 	// goblin
27	3	5	151	119	162	132	0	10	// goblin spot
32	3	5	160	128	162	132	0	10	// cachorro da terra
32	3	5	206	135	207	137	0	10	// stone golen
33	3	5	206	135	207	137	0	10	// stone golen
28	3	5	149	215	149	215	0	10	// 
30	3	5	149	215	149	215	0	10	// 
26	3	5	144	105	140	100	0	10	// 
29	3	5	144	105	140	100	0	10	// 

end

//=========================================================================================							
//=========================== Spots Adicionales LostTower - ===============================							
//=========================================================================================

1
41      4       20      99      168     100     169     -1      14
34      4       15      98      167     97      167     -1      14
41      4       50      88      199     88      205     -1    	14
40      4       30      130     39      129     52      -1      14
37      4       15      130     47      131     47      -1      14
35      4       40      87      100     88      101     -1      14
38      4       40      87      100     88      101     -1  	14
39      4       40      87      100     88      101     -1      14   
36	4	5	205	87	205	87	0	14	//Shadow
36	4	5	105	101	105	101	0	14	//Shadow
36	4	5	200	113	200	113	0	14	//Shadow
36	4	5	204	47	204	47	0	14	//Shadow
37	4	5	218	74	218	74	0	14	//Shadow
37	4	5	235	244	235	244	0	14	//
41	4	5	48	133	48	133	0	14	//
37	4	5	86	177	86	177	0	14	//
38	4	5	27	123	27	123	0	14	//
40	4	5	15	101	15	101	0	14	//
35	4	5	32	101	32	101	0	14	//
41	4	5	54	90	54	90	0	15	//
40	4	5	54	113	54	113	0	15	//
end
2						
40	4	30	201	95	-1	//Cursed Wizard
34	4	30	243	237	-1	//Cursed Wizard	
35	4	30	29	208	-1	//Death Gorgon
35	4	30	33	206	-1	//Death Gorgon
35	4	30	46	25	-1	//Death Gorgon
35	4	30	23	40	-1	//Death Gorgon
35	4	30	42	97	-1	//Death Gorgon
35	4	30	38	234	-1	//Death Gorgon
35	4	30	34	108	-1	//Death Gorgon
35	4	30	53	111	-1	//Death Gorgon
35	4	30	45	137	-1	//Death Gorgon
35	4	30	50	241	-1	//Death Gorgon
35	4	30	54	205	-1	//Death Gorgon
35	4	30	23	195	-1	//Death Gorgon
37	4	30	55	28	-1	//Death Knight
37	4	30	22	30	-1	//Death Knight
38	4	30	39	38	-1	//Death Knight
38	4	30	6	98	-1	//Death Knight
38	4	30	33	86	-1	//Death Knight
40	4	30	24	9	-1	//Death Knigh
40	4	30	91	56	-1	//Death Knight
40	4	30	30	128	-1	//Death Knight
end

//=========================================================================================							
//=========================== Stadium Cercados - Monster - ================================							
//=========================================================================================							
//Mob	Map	Radio	CordX	CordY	CordX2	CordY2	Dir	Quant	Name
1
//Entrada
169	6	5	57	94	57	94	-1	10	// Chaos Castle

169	6	5	69	95	69	95	-1	2	// Chaos Castle

//Jaulas
69     6       5       46      82      47      82      -1      11
70     6       5       48      70      48      96      -1      11
75      6       5       67      85      66      85      -1      11 
75      6       5       65      65      66      65      -1      11  
71      6       5       68      73      69      73      -1      11
290      6       3       48      57      49      58      -1      11
74      6       3       30      57      31      58      -1      11 
303      6       3       12      57      11      53      -1      11
350      6       3       12      74      13      74      -1      11
539      6       3       14      94      11      91      -1      11
576      6       3       30      92      31      93      -1      11
357     6       3       30      74      31      75      -1      11
291     6       3       30      38      31      39      -1      11
173     6       3       47      38      47      39      -1      11
536     6       3       12      38      12      39      -1      11
535      6       10      63      27      66      33      -1      11
538      6       10      46      25      42      28      -1      11
38      6       10      57      24      57      78      -1      15
37      6       10      38      24      38      93      -1      15
63      6       10      21      24      21      93      -1      15

//
//510      6       10      36      46      40      49      -1      1
113      6       10      40      112      40      112      -1      14
116      6       10      20      113      20      113      -1      14
40      6       10      75      111      79      112      -1      15
39      6       10      90      107      85      105      -1      15
559      6       10      21      24      21      24      -1      11
562      6       10      85      42      86      45      -1      11
575      6       10      89      63      90      65      -1      11
570      6       10      93      83      93      83      -1      11
551      6       10      85      12      85      12      -1      11

// kundun
//275      6       10      49      112      78      112      -1      51
end

//=========================================================================================							
//=================== Atlans Monsters - ======================================							
//=========================================================================================							
2
45	7	30	21	41	-1	//Bahamut
45	7	30	23	33	-1	//Bahamut
45	7	30	31	31	-1	//Bahamut
45	7	30	39	23	-1	//Bahamut
45	7	30	41	11	-1	//Bahamut
45	7	30	19	125	-1	//Bahamut
45	7	30	49	8	-1	//Bahamut
45	7	30	46	20	-1	//Bahamut
45	7	30	39	35	-1	//Bahamut
45	7	30	37	50	-1	//Bahamut
45	7	30	20	75	-1	//Bahamut
45	7	30	63	44	-1	//Bahamut
45	7	30	68	52	-1	//Bahamut
45	7	30	49	64	-1	//Bahamut
45	7	30	29	52	-1	//Bahamut
46	7	30	65	59	-1	//Vepar
46	7	30	65	51	-1	//Vepar
46	7	30	55	44	-1	//Vepar
46	7	30	40	48	-1	//Vepar
46	7	30	31	53	-1	//Vepar
46	7	30	24	90	-1	//Vepar
46	7	30	21	100	-1	//Vepar
46	7	30	25	105	-1	//Vepar
46	7	30	30	110	-1	//Vepar
46	7	30	21	118	-1	//Vepar
47	7	30	190	24	-1	//Valkyrie
47	7	30	196	27	-1	//Valkyrie
47	7	30	200	17	-1	//Valkyrie
47	7	30	208	9	-1	//Valkyrie
47	7	30	222	14	-1	//Valkyrie
47	7	30	117	74	-1	//Valkyrie
47	7	30	139	61	-1	//Valkyrie
47	7	30	152	61	-1	//Valkyrie
47	7	30	172	55	-1	//Valkyrie
47	7	30	189	56	-1	//Valkyrie
47	7	30	113	27	-1	//Valkyrie
48	7	30	46	217	-1	//Lizard King
48	7	30	29	226	-1	//Lizard King
48	7	30	22	213	-1	//Lizard King
48	7	30	24	204	-1	//Lizard King
48	7	30	34	200	-1	//Lizard King
48	7	30	35	209	-1	//Lizard King
48	7	30	40	210	-1	//Lizard King
48	7	30	177	146	-1	//Lizard King
48	7	30	219	124	-1	//Lizard King
48	7	30	227	123	-1	//Lizard King
48	7	30	224	184	-1	//Lizard King
48	7	30	230	171	-1	//Lizard King
48	7	30	221	158	-1	//Lizard King
48	7	30	233	124	-1	//Lizard King
49	7	30	19	230	-1	//Hydra
49	7	30	24	227	-1	//Hydra
49	7	30	211	192	-1	//Hydra
49	7	30	229	203	-1	//Hydra
51	7	30	212	96	-1	//Great Bahamut
51	7	30	228	16	-1	//Great Bahamut
51	7	30	237	17	-1	//Great Bahamut
51	7	30	170	61	-1	//Great Bahamut
51	7	30	156	59	-1	//Great Bahamut
51	7	30	91	115	-1	//Great Bahamut
51	7	30	154	69	-1	//Great Bahamut
51	7	30	111	82	-1	//Great Bahamut
51	7	30	81	116	-1	//Great Bahamut
51	7	30	72	125	-1	//Great Bahamut
51	7	30	122	66	-1	//Great Bahamut
51	7	30	219	56	-1	//Great Bahamut
52	7	30	63	178	-1	//Silver Valkyrie
52	7	30	162	141	-1	//Silver Valkyrie
52	7	30	138	176	-1	//Silver Valkyrie
52	7	30	223	70	-1	//Silver Valkyrie
52	7	30	211	59	-1	//Silver Valkyrie
52	7	30	232	86	-1	//Silver Valkyrie
52	7	30	208	104	-1	//Silver Valkyrie
52	7	30	235	106	-1	//Silver Valkyrie
52	7	30	101	147	-1	//Silver Valkyrie
52	7	30	87	175	-1	//Silver Valkyrie
end
//Monsters Atlans
//=========================================================================================									
//Mob	Map	Radio	CordX	CordY	CordX2	CordY2	Dir 	Quant  Name	
1
45	7	10	21	36	21	36	-1	12 //
45	7	10	41	33	41	33	-1	12 //
45	7	10	49	14	49	14	-1	12 //
45	7	10	51	71	51	71	-1	12 //
46	7	10	28	68	28	68	-1	12 //
46	7	10	48	50	48	50	-1	12 //
51	7	10	242	51	242	51	-1	12 //
51	7	10	205	99	205	99	-1	12 //
51	7	10	211	65	211	65	-1	12 //
52	7	10	214	75	214	75	-1	12 //
51	7	10	242	30	242	30	-1	12 //
52	7	10	230	66	230	66	-1	12 //
52	7	10	183	92	183	92	-1	12 //
48	7	10	199	56	199	56	-1	12 //
48	7	10	229	130	229	130	-1	12 //
48	7	10	224	89	224	89	-1	12 //
49	7	10	224	192	224	192	-1	5 //
48	7	10	28	227	28	227	-1	12 //
48	7	10	67	152	67	152	-1	12 //
52	7	10	84	135	84	135	-1	12 //
52	7	10	70	172	70	172	-1	12 //
52	7	10	172	143	172	143	-1	12 //
51	7	10	239	13	239	13	-1	12 //
end

//=========================================================================================							
//================================= Tarkan - =============================================							
//=========================================================================================							
//Mob	Map	Radio	CordX	CordY	CordX2	CordY2	Dir 	Quant  Name	
1	
62	8	30	199	108	199	108	-1	12 //Mutant
62	8	30	149	71	149	71	-1	12 //Mutant
62	8	30	141	96	141	96	-1	12 //Mutant
62	8	30	135	71	129	70	-1	12 //Mutant
60	8	30	103	82	103	82	-1	12 //Bloody Wolf
60	8	30	111	80	111	80	-1	12 //Bloody Wolf
57	8	30	100	87	100	87	-1	12 //Iron Wheel
58	8	30	97	147	97	147	-1	12 //Tantallos
61	8	30	29	220	29	245	-1	12 //Vim Knight
61	8	30	72	143	72	137	-1	12 //Vim Knight
57	8	30	70	83	70	83	-1	12 //Vim Knight
58	8	30	104	142	104	142	-1	12 //Tantallos
58	8	30	84	152	84	152	-1	12 //Tantallos
61	8	30	45	165	45	165	-1	12 //Tantallos
61	8	30	165	199	165	199	-1	12 //Tantallos
63	8	30	158	210	160	218	-1	12 //Tantallos
61	8	30	161	219	161	218	-1	12 //Tantallos
58	8	30	159	216	159	216	-1	12 //Tantallos
59	8	30	16	238	16	238	-1	12 //
59	8	30	19	235	19	235	-1	12 //
58	8	30	26	223	26	223	-1	12 //
61	8	30	32	224	32	224	-1	12 //
end
//=========================================================================================										
//================================= Icarus - =============================================										
//=========================================================================================										
end
1
69	10	30	12	30	12	30	0	11 //Mega Crust	
69	10	30	34	24	34	24	0	11 //Mega Crust	
69	10	30	27	40	27	40	0	11 //Mega Crust	
69	10	30	46	34	46	34	0	11 //Mega Crust

70	10	30	67	41	67	41	0	11 //Mega Crust
70	10	30	66	26	66	26	0	11 //Mega Crust
70	10	30	85	40	85	40	0	11 //Mega Crust
71	10	30	97	54	97	54	0	11 //Mega Crust
71	10	30	48	36	46	29	0	11 //Mega Crust
71	10	30	83	66	83	66	0	11 //Mega Crust
71	10	30	92	30	92	30	0	11 //Mega Crust
73	10	30	67	76	74	71	0	13 //Drakan
74	10	30	28	65	28	65	0	13 //Alpha Crust
74	10	30	45	71	45	71	0	13 //Alpha Crust
74	10	30	39	90	39	90	0	13 //Alpha Crust
74	10	30	38	107	39	107	0	13 //Alpha Crust
74	10	30	46	135	46	135	0	13 //Alpha Crust
75	10	30	42	226	39	225	0	6 //
76	10	30	41	226	43	235	0	9 //
77	10	30	41	226	43	235	0	9 //
77	10	30	40	221	40	221	0	5 //
75	10	30	46	160	46	160	0	9 //
75	10	30	56	160	56	160	0	9 //
75	10	30	52	180	52	180	0	9 //
75	10	30	55	175	55	175	0	9 //
end
//=========================================================================================
//================================= Aida - ===============================================
//=========================================================================================
//Mob	Map	Radio	CordX	CordY	Strong	Name
2
304	33	30	106	49	-1	//Witch Queen
304	33	30	120	97	-1	//Witch Queen
304	33	30	125	82	-1	//Witch Queen
304	33	30	137	125	-1	//Witch Queen
304	33	30	141	76	-1	//Witch Queen
304	33	30	106	49	-1	//Witch Queen
304	33	30	120	97	-1	//Witch Queen
304	33	30	125	82	-1	//Witch Queen
304	33	30	137	125	-1	//Witch Queen
304	33	30	141	76	-1	//Witch Queen
305	33	30	81	80	-1	//Blue Golem
305	33	30	83	121	-1	//Blue Golem
305	33	30	88	62	-1	//Blue Golem
305	33	30	133	133	-1	//Blue Golem
305	33	30	134	106	-1	//Blue Golem
305	33	30	136	66	-1	//Blue Golem
305	33	30	146	72	-1	//Blue Golem
305	33	30	180	40	-1	//Blue Golem
305	33	30	185	147	-1	//Blue Golem
305	33	30	194	19	-1	//Blue Golem
305	33	30	197	148	-1	//Blue Golem
305	33	30	208	168	-1	//Blue Golem
305	33	30	235	101	-1	//Blue Golem
306	33	30	85	145	-1	//Death Rider
306	33	30	88	126	-1	//Death Rider
306	33	30	89	109	-1	//Death Rider
306	33	30	93	173	-1	//Death Rider
306	33	30	100	58	-1	//Death Rider
306	33	30	190	144	-1	//Death Rider
306	33	30	191	138	-1	//Death Rider
