//==============================================================================
//Monster Set Base
//Repack SCFMT/TitansTech 10.09.03 by Antiferna
//www.antifernamu.com
//------------------------------------------------------------------------------
//Revision 08 May, 2011	
//==============================================================================
//0 - Guards / NPC / Traps
//1 - Spots
//2 - Normal Monster
//3 - Bone King / Golden Monsters
//4 - Blood Castle Monsters / Gate / Others

//=========================================================================================
//	Invasion Golden
//=========================================================================================
//Mob	Map	Radio	CordX	CordY	CordX2	CordY2	Dir 	Quant  Name	
3
43	3	30	10	10	240	240	-1	1 // Golden Budge Dragon => Noria
44	0	30	182	128	195	145	-1	1 // Dragon => Lorencia
53	2	5	147	88	147	88	-1	1 // Golden Titan => Davias
54	0	30	183	128	188	135	-1	1 // Golden Soldier => Lorencia
55	0	30	132	83	132	83	-1	1 // Death King => Lorencia
56	0	30	132	83	138	90	-1	1 // Death Bone => Lorencia
78	0	7	150	68	150	68	-1	1 // Golden Goblin => Lorencia
78	3	7	168	68	168	68	-1	1 // Golden Goblin => Noria
79	0	7	76	139	76	139	-1	1 // Golden Derkon => Lorencia
79	2	7	172	114	172	114	-1	1 // Golden Derkon => Davias
79	3	7	192	154	192	154	-1	1 // Golden Derkon => Noria
81	7	7	145	66	145	66	-1	1 // Golden Vepar => Atlans
81	7	7	106	100	106	100	-1	1 // Golden Vepar => Atlans
80	8	7	142	58	142	58	-1	1 // Golden Lizard King => Tarkan
80	8	7	68	125	68	125	-1	1 // Golden Lizard King => Tarkan
82	8	7	124	71	124	71	-1	1 // Golden Tantalos => Tarkan
82	8	7	72	92	72	92	-1	1 // Golden Tantalos => Tarkan
83	8	7	96	131	96	131	-1	1 // Golden Wheel => Tarkan
end
//=========================================================================================							
//	LorenMarket NPCs					
//=========================================================================================							
//Mob	Map	Rad	X	Y	Str	Name	
0
545 	79	0	112	116	3	//Christine
407 34   0  223  48  1
end
//=========================================================================================						
//	Devias NPCs						
//=========================================================================================						
//Mob	Map	Rad	X	Y	Str	Name
0
229	2	0	183	30	3	//Marlon
231	2	0	8	77	3	//Thomson Cannel
233	2	0	209	30	1	//Spirit of Archangel
233	2	0	219	9	3	//Spirit of Archangel
235	2	0	183	32	3	//Priest Sevina
240	2	0	218	63	2	//Baz, Storage Guard
241	2	0	215	45	1	//Lawrence, Commander
244	2	0	226	25	3	//Lumen, Barmaid
245	2	0	225	41	3	//Isabel, Wizard
246	2	0	186	47	3	//Zienna
247	2	20	169	39	7	//Crossbow Guard
247	2	20	169	45	7	//Crossbow Guard
247	2	20	219	79	5	//Crossbow Guard
247	2	20	224	79	5	//Crossbow Guard
256	2	0	191	17	3	//Lahap
257	2	0	219	76	3	//Elf Soldier
258	2	0	225	60	2	//Leo, the Helper
371	2	0	212	63	2	//Elite Soldier
379	2	0	13	28	2	//Fireworks Girl
379	2	0	17	29	2	//Fireworks Girl
379	2	0	20	29	2	//Fireworks Girl
379	2	0	13	23	4	//Fireworks Girl
379	2	0	17	22	4	//Fireworks Girl
379	2	0	20	22	4	//Fireworks Girl
522	2	0	229	221	1	//Imperial Guardian Npc
253	2	0	209	53	2	//Amy, Potion Girl
522	2	0	229	221	1	//nguoiguicong
479	2	0	216	47	3	//Gatekeeper Titus
546	2	0	209	59	3	//thung nhan Rauul

414	2	0	195	47	3	// Elegance Allen
543     2       0       215     49      3	//Gens Duprian
//478	2	0	186	41	2	//Lucky Coins
248	2	0	203	53	2	//ke ban dao
230	2	0	207	53	2	//Alex
385	2	0	11	26	3	//nguoiguicong
450	2	0	220	67	3	//Governor Blossom
385	2	0	204	61	1	//Alchemist [Illusion NPC]
end

//=========================================================================================						
//	Noria NPCs						
//=========================================================================================						
//Mob	Map	Rad	X	Y	Str	Name
0
237	3	0	171	104	3	//Charon
238	3	0	180	103	1	//Chaos Goblin
240	3	0	172	96	3	//Baz, Storage Guard
242	3	0	173	125	1	//Elf Lala
243	3	0	195	124	2	//Eo, Craftsman 
257	3	0	167	118	1	//Elf Soldier
452	3	0	171	100	3	//Hour Research
453	3	0	166	99	3	//Seed Spear Research
544     3       0       171     108     3	//Gens Vanert Steward
253	3	0	171	120	2	//Amy, Potion Girl
253	3	0	44	105	2	//Amy, Potion Girl
450	3	0	174	121	2	//Governor Blossom [Sky Event]
379	3	0	169	111	3	//Fireworks Girl
256	3	0	172	97	3	//JewelMix	
end												

//=========================================================================================						
//	Lost Tower NPCs						
//=========================================================================================						
//Mob	Map	Rad	X	Y	Str	Name
0
240	4	0	203	73	3	//Baz, Storage Guard
end

//=========================================================================================						
//	Stadium NPCs						
//=========================================================================================						
//Mob	Map	Rad	X	Y	Str	Name
0						
200	6	6	63	160	1	//Soccer Ball
239	6	6	72	164	1	//Stadium Guard
240	6	0	63	49	1	//Storage Guard
247	6	0	60	117	1	//Crossbow Guard
247	6	0	66	117	1	//Crossbow Guard
247	6	0	102	114	7	//Crossbow Guard
247	6	0	102	116	7	//Crossbow Guard
247	6	0	102	118	7	//Crossbow Guard
end

//=========================================================================================						
//	Icarus NPCs						
//=========================================================================================						
//Mob	Map	Rad	X	Y	Str	Name
//NONE

//=========================================================================================						
//	Aida NPCs						
//=========================================================================================						
//Mob	Map	Rad	X	Y	Str	Name
0						
369	33	0	80	14	3	//Osborne
370	33	0	86	13	2	//Jeridon
368	33	0	74	11	3	//elpis
end						


//=========================================================================================						
//	Kantru NPCs						
//=========================================================================================						
//Mob	Map	Rad	X	Y	Str	Name
0						
367	38	0	141	191	2	//Equipment
368   	39      0       77      177 	2       //Elpis
end

//=========================================================================================							
//	Illusion Temple 1 NPCs						
//=========================================================================================							
//Mob	Map	Rad	X	Y	Str	Name	
0
380	45	0	207	47	2       //Statue
380	45	0	134     121 	2       //Statue
381     45      0       140     61 	2       //Sword Guard
382	45	0	195	116	2	//Illusion Guard
383	45	0	139	59	2       //Pedestal Spiral
383     45      0       192     116 	2       //Pedestal
end

//=========================================================================================							
//	Illusion Temple 2 NPCs						
//=========================================================================================							
//Mob	Map	Rad	X	Y	Str	Name	
0
380	46	0	207	47	2       //Statue
380	46	0	134     121 	2       //Statue
381     46      0       140     61 	2       //Sword Guard
382	46	0	195	116	2	//Illusion Guard
383	46	0	139	59	2       //Pedestal Spiral
383     46      0       192     116 	2       //Pedestal
end

//=========================================================================================							
//	Illusion Temple 3 NPCs						
//=========================================================================================							
//Mob	Map	Rad	X	Y	Str	Name	
0
380	47	0	207	47	2       //Statue
380	47	0	134     121 	2       //Statue
381     47      0       140     61 	2       //Sword Guard
382	47	0	195	116	2	//Illusion Guard
383	47	0	139	59	2       //Pedestal Spiral
383     47      0       192     116 	2       //Pedestal    
end

//=========================================================================================							
//	Illusion Temple 4 NPCs						
//=========================================================================================							
//Mob	Map	Rad	X	Y	Str	Name	
0
380	48	0	207	47	2       //Statue
380	48	0	134     121 	2       //Statue
381     48      0       140     61 	2       //Sword Guard
382	48	0	195	116	2	//Illusion Guard
383	48	0	139	59	2       //Pedestal Spiral
383     48      0       192     116 	2       //Pedestal
end

//=========================================================================================							
//	Illusion Temple 5 NPCs						
//=========================================================================================							
//Mob	Map	Rad	X	Y	Str	Name	
0
380	49	0	207	47	2       //Statue
380	49	0	134     121 	2       //Statue
381     49      0       140     61 	2       //Sword Guard
382	49	0	195	116	2	//Illusion Guard
383	49	0	139	59	2       //Pedestal Spiral
383     49      0       192     116 	2       //Pedestal
end

//=========================================================================================							
//	Illusion Temple 6 NPCs						
//=========================================================================================							
//Mob	Map	Rad	X	Y	Str	Name	
0
380	50	0	207	47	2       //Statue
380	50	0	134     121 	2       //Statue
381     50      0       140     61 	2       //Sword Guard
382	50	0	195	116	2	//Illusion Guard
383	50	0	139	59	2       //Pedestal Spiral
383     50      0       192     116 	2       //Pedestal
end

//=========================================================================================							
//	Elbeland NPCs					
//=========================================================================================							
//Mob	Map	Rad	X	Y	Str	Name	
0
415	51	0	44	230	1	//Sivia
417	51	0	37	219	1	//Marseille
253	51	0	34	240	1	//Potion Girl
416	51	0	37	242	1	//Leah
240	51	0	22	224	1	//Baz, Storage Guard
246	51	0	28	237	2	//Zienna, Weapon Merchant
257	51	0	100	218	1	//Elf Soldier
257	51	0	45	164	1	//Elf Soldier
540	51	0	49	216	1	//Double Goer
end

//=========================================================================================							
//	Santas Map						
//=========================================================================================							
//Mob	Map	Rad	X	Y	Str	Name	
0
//467	62	0	202	41	3	//Snow Man
468	62	0	236	9	1	//Little Santa Yellow
469	62	0	205	9	1	//Little Santa Green
470	62	0	222	25	1	//Little Santa Red
471	62	0	224	14	1	//Little Santa Blue
472	62	0	202	33	1	//Little Santa White
473	62	0	232	39	1	//Little Santa Black
474	62	0	217	44	1	//Little Santa Orange
475	62	0	191	24	1	//Little Santa Pink
467	62	0	229	40	2	//Snow Man
//465	62	0	229	40	2	//Santa Claus bug ve santa
end

//=========================================================================================							
//	Vulcan NPCs					
//=========================================================================================							
//Mob	Map	Rad	X	Y	Str	Name	
0
479	63	0	122	135	1	//Gatekeeper Titus
end




//=========================================================================================							
//================================= Devil Square - =======================================							
//=========================================================================================										
//Mob	Map	Radio	CordX	CordY	CordX2	CordY2	Dir	Quant	Name	
1										
//DevilSquare 1 Mobs										
17	9	30	119	80	150	115	-1	20	//Cyclops
15	9	30	119	80	150	115	-1	40	//Skeleton Archer
//DevilSquare 2 Mobs										
10	9	30	121	152	151	184	-1	20	//Dark Knight
39	9	30	121	152	151	184	-1	40	//Poison Shadow
//DevilSquare 3 Mobs										
41	9	30	49	138	79	173	-1	20	//Death Cow
37	9	30	49	138	79	173	-1	40	//Devil
//DevilSquare 4 Mobs										
64	9	30	53	74	83	109	-1	20	//Orc Archer
65	9	30	53	74	83	109	-1	40	//Elite Orc
//DevilSquare 5 Mobs										
294	32	30	120	80	150	115	-1	20	//Axe Warrior
60	32	30	120	80	150	115	-1	40	//Bloody Wolf
//DevilSquare 6 Mobs										
290	32	30	122	152	151	184	-1	40	//Lizard Warrior
57	32	30	122	152	151	184	-1	40	//Iron Wheel
//DevilSquare 7 Mobs										
290	32	30	49	138	79	173	-1	40	//Lizard Warrior
57	32	30	49	138	79	173	-1	40	//Iron Wheel
end


//=========================================================================================							
//================================= Blood Castle - =======================================							
//=========================================================================================							
//Ident	Map	Radius	X	Y	Strong	Name	
4
131	11	0	14	75	0	//Gate 1
131	12	0	14	75	0	//Gate 1
131	13	0	14	75	0	//Gate 1
131	14	0	14	75	0	//Gate 1
131	15	0	14	75	0	//Gate 1
131	16	0	14	75	0	//Gate 1
131	17	0	14	75	0	//Gate 1
131	52	0	14	75	0	//Gate 1
//new
//132	11	0  	20	247	0 	//Statue Of Saint
//132	12	0  	20	247	0 	//Statue Of Saint
//132	13	0  	20	247	0 	//Statue Of Saint
//132	14	0  	20	247	0 	//Statue Of Saint
//132	15	0  	20	247	0 	//Statue Of Saint
//132	16	0  	20	247	0 	//Statue Of Saint
//132	17	0  	20	247	0 	//Statue Of Saint
//132	52	0  	20	247	0 	//Statue Of Saint

132	11	0	15	87	0	//Gate 2
132	12	0	15	87	0	//Gate 2
132	13	0	15	87	0	//Gate 2
132	14	0	15	87	0	//Gate 2
132	15	0	15	87	0	//Gate 2
132	16	0	15	87	0	//Gate 2
132	17	0	15	87	0	//Gate 2
132	52	0	15	87	0	//Gate 2
//132	52	0	15	95	0	//Gate 2 quet gocccccccccc

232	11	0	10	9	1	//Archangel
232	12	0	10	9	1	//Archangel
232	13	0	10	9	1	//Archangel
232	14	0	10	9	1	//Archangel
232	15	0	10	9	1	//Archangel
232	16	0	10	9	1	//Archangel
232	17	0	10	9	1	//Archangel
232	52	0	10	9	1	//Archangel
end							

//Blood Castle 1 Mobs (85 to 89)							
//Ident	Map	Radius	X	Y	Strong	Name	
4							
84	11	30	14	34	0	//Elite Skeleton	
84	11	30	14	38	0	//Elite Skeleton	
84	11	30	13	35	0	//Elite Skeleton	
84	11	30	13	28	0	//Elite Skeleton	
84	11	30	15	35	0	//Elite Skeleton	
84	11	30	14	33	0	//Elite Skeleton	
84	11	30	15	41	0	//Elite Skeleton	
84	11	30	14	42	0	//Elite Skeleton	
84	11	30	15	25	0	//Elite Skeleton	
84	11	30	15	23	0	//Elite Skeleton	
84	11	30	15	41	0	//Elite Skeleton	
84	11	30	14	42	0	//Elite Skeleton	
84	11	30	15	25	0	//Elite Skeleton	
84	11	30	15	23	0	//Elite Skeleton	
84	11	30	13	26	0	//Elite Skeleton	
84	11	30	13	37	0	//Elite Skeleton	
84	11	30	14	40	0	//Elite Skeleton	
84	11	30	13	39	0	//Elite Skeleton	
84	11	30	14	27	0	//Elite Skeleton	
84	11	30	14	24	0	//Elite Skeleton	
84	11	30	14	32	0	//Elite Skeleton	
84	11	30	15	45	0	//Elite Skeleton	
84	11	30	15	31	0	//Elite Skeleton	
85	11	30	13	23	0	//Orc Archer
85	11	30	15	43	0	//Orc Archer
85	11	30	13	45	0	//Orc Archer
85	11	30	15	39	0	//Orc Archer
85	11	30	15	37	0	//Orc Archer
85	11	30	13	29	0	//Orc Archer
85	11	30	15	28	0	//Orc Archer
85	11	30	13	25	0	//Orc Archer
85	11	30	13	21	0	//Orc Archer
85	11	30	14	22	0	//Orc Archer
85	11	30	15	28	0	//Orc Archer
85	11	30	13	25	0	//Orc Archer
85	11	30	13	21	0	//Orc Archer
85	11	30	14	22	0	//Orc Archer
85	11	30	15	21	0	//Orc Archer
85	11	30	13	31	0	//Orc Archer
85	11	30	15	30	0	//Orc Archer
85	11	30	15	33	0	//Orc Archer
85	11	30	14	21	0	//Orc Archer
85	11	30	13	43	0	//Orc Archer
85	11	30	15	26	0	//Orc Archer
86	11	30	15	46	0	//Elite Orc
86	11	30	15	63	0	//Elite Orc
86	11	30	15	53	0	//Elite Orc
86	11	30	13	65	0	//Elite Orc
86	11	30	13	67	0	//Elite Orc
86	11	30	15	59	0	//Elite Orc
86	11	30	13	59	0	//Elite Orc
86	11	30	15	55	0	//Elite Orc
86	11	30	13	62	0	//Elite Orc
86	11	30	13	41	0	//Elite Orc
86	11	30	15	69	0	//Elite Orc
86	11	30	13	50	0	//Elite Orc
86	11	30	15	48	0	//Elite Orc
86	11	30	13	41	0	//Elite Orc
86	11	30	15	69	0	//Elite Orc
86	11	30	13	50	0	//Elite Orc
86	11	30	15	48	0	//Elite Orc
86	11	30	13	46	0	//Elite Orc
86	11	30	14	44	0	//Elite Orc
86	11	30	15	51	0	//Elite Orc
86	11	30	14	49	0	//Elite Orc
86	11	30	15	57	0	//Elite Orc
86	11	30	14	64	0	//Elite Orc
86	11	30	14	67	0	//Elite Orc
86	11	30	13	53	0	//Elite Orc
86	11	30	15	65	0	//Elite Orc
86	11	30	15	60	0	//Elite Orc
86	11	30	13	57	0	//Elite Orc
87	11	30	13	69	0	//Spirit Beast
87	11	30	14	61	0	//Spirit Beast
87	11	30	13	55	0	//Spirit Beast
87	11	30	14	58	0	//Spirit Beast
87	11	30	14	52	0	//Spirit Beast
87	11	30	15	50	0	//Spirit Beast
87	11	30	15	66	0	//Spirit Beast
87	11	30	14	56	0	//Spirit Beast
87	11	30	14	52	0	//Spirit Beast
87	11	30	15	50	0	//Spirit Beast
87	11	30	15	66	0	//Spirit Beast
87	11	30	14	56	0	//Spirit Beast
87	11	30	14	70	0	//Spirit Beast
87	11	30	13	48	0	//Spirit Beast
87	11	30	13	63	0	//Spirit Beast
88	11	30	13	78	0	//Spirit Knight
88	11	30	14	83	0	//Spirit Knight
88	11	30	14	78	0	//Spirit Knight
88	11	30	15	78	0	//Spirit Knight
88	11	30	16	80	0	//Spirit Knight
88	11	30	15	62	0	//Spirit Knight
88	11	30	17	83	0	//Spirit Knight
88	11	30	14	90	0	//Spirit Knight
88	11	30	11	83	0	//Spirit Knight
88	11	30	15	94	0	//Spirit Knight
88	11	30	20	82	0	//Spirit Knight
88	11	30	15	62	0	//Spirit Knight
88	11	30	17	83	0	//Spirit Knight
88	11	30	14	90	0	//Spirit Knight
88	11	30	11	83	0	//Spirit Knight
88	11	30	15	94	0	//Spirit Knight
88	11	30	20	82	0	//Spirit Knight
88	11	30	20	88	0	//Spirit Knight
88	11	30	14	54	0	//Spirit Knight
88	11	30	14	36	0	//Spirit Knight
88	11	30	15	68	0	//Spirit Knight
88	11	30	14	47	0	//Spirit Knight
89	11	30	16	87	0	//Spirit Sorcerer
89	11	30	12	81	0	//Spirit Sorcerer
89	11	30	13	88	0	//Spirit Sorcerer
89	11	30	13	85	0	//Spirit Sorcerer
89	11	30	19	85	0	//Spirit Sorcerer
89	11	30	13	88	0	//Spirit Sorcerer
89	11	30	13	85	0	//Spirit Sorcerer
89	11	30	19	85	0	//Spirit Sorcerer
89	11	30	13	93	0	//Spirit Sorcerer
89	11	30	14	80	0	//Spirit Sorcerer
89	11	30	18	81	0	//Spirit Sorcerer
end							
//Blood Castle 2 Mobs (91 to 95)							
//Ident	Map	Radius	X	Y	Strong	Name	
4							
90	12	30	14	34	1	//Elite Skeleton	
90	12	30	14	38	1	//Elite Skeleton	
90	12	30	13	35	1	//Elite Skeleton	
90	12	30	13	28	1	//Elite Skeleton	
90	12	30	15	35	1	//Elite Skeleton	
90	12	30	14	33	1	//Elite Skeleton	
90	12	30	15	41	1	//Elite Skeleton	
90	12	30	14	42	1	//Elite Skeleton	
90	12	30	15	25	1	//Elite Skeleton	
90	12	30	15	23	1	//Elite Skeleton	
90	12	30	13	26	1	//Elite Skeleton	
90	12	30	14	42	1	//Elite Skeleton	
90	12	30	15	25	1	//Elite Skeleton	
90	12	30	15	23	1	//Elite Skeleton	
90	12	30	13	26	1	//Elite Skeleton	
90	12	30	13	37	1	//Elite Skeleton	
90	12	30	14	40	1	//Elite Skeleton	
90	12	30	13	39	1	//Elite Skeleton	
90	12	30	14	27	1	//Elite Skeleton	
90	12	30	14	24	1	//Elite Skeleton	
90	12	30	14	32	1	//Elite Skeleton	
90	12	30	15	45	1	//Elite Skeleton	
90	12	30	15	31	1	//Elite Skeleton	
91	12	30	13	45	1	//Orc Archer
91	12	30	13	23	1	//Orc Archer
91	12	30	15	43	1	//Orc Archer
91	12	30	15	39	1	//Orc Archer
91	12	30	15	37	1	//Orc Archer
91	12	30	13	29	1	//Orc Archer
91	12	30	15	28	1	//Orc Archer
91	12	30	13	25	1	//Orc Archer
91	12	30	13	21	1	//Orc Archer
91	12	30	14	22	1	//Orc Archer
91	12	30	15	28	1	//Orc Archer
91	12	30	13	25	1	//Orc Archer
91	12	30	13	21	1	//Orc Archer
91	12	30	14	22	1	//Orc Archer
91	12	30	15	21	1	//Orc Archer
91	12	30	13	31	1	//Orc Archer
91	12	30	15	30	1	//Orc Archer
91	12	30	15	33	1	//Orc Archer
91	12	30	14	21	1	//Orc Archer
91	12	30	13	43	1	//Orc Archer
91	12	30	15	26	1	//Orc Archer
92	12	30	15	46	1	//Elite Orc
92	12	30	15	63	1	//Elite Orc
92	12	30	15	53	1	//Elite Orc
92	12	30	13	65	1	//Elite Orc
92	12	30	13	67	1	//Elite Orc
92	12	30	15	59	1	//Elite Orc
92	12	30	13	59	1	//Elite Orc
92	12	30	15	55	1	//Elite Orc
92	12	30	13	62	1	//Elite Orc
92	12	30	13	41	1	//Elite Orc
92	12	30	15	69	1	//Elite Orc
92	12	30	13	50	1	//Elite Orc
92	12	30	15	48	1	//Elite Orc
92	12	30	13	46	1	//Elite Orc
92	12	30	14	44	1	//Elite Orc
92	12	30	15	51	1	//Elite Orc
92	12	30	14	49	1	//Elite Orc
92	12	30	15	57	1	//Elite Orc
92	12	30	14	44	1	//Elite Orc
92	12	30	15	51	1	//Elite Orc
92	12	30	14	49	1	//Elite Orc
92	12	30	15	57	1	//Elite Orc
92	12	30	14	64	1	//Elite Orc
92	12	30	14	67	1	//Elite Orc
92	12	30	13	53	1	//Elite Orc
92	12	30	15	65	1	//Elite Orc
92	12	30	15	60	1	//Elite Orc
92	12	30	13	57	1	//Elite Orc
93	12	30	13	69	1	//Spirit Beast
93	12	30	14	61	1	//Spirit Beast
93	12	30	13	55	1	//Spirit Beast
93	12	30	14	58	1	//Spirit Beast
93	12	30	14	52	1	//Spirit Beast
93	12	30	15	50	1	//Spirit Beast
93	12	30	15	66	1	//Spirit Beast
93	12	30	14	56	1	//Spirit Beast
93	12	30	14	70	1	//Spirit Beast
93	12	30	15	50	1	//Spirit Beast
93	12	30	15	66	1	//Spirit Beast
93	12	30	14	56	1	//Spirit Beast
93	12	30	14	70	1	//Spirit Beast
93	12	30	13	48	1	//Spirit Beast
93	12	30	13	63	1	//Spirit Beast
94	12	30	13	78	1	//Spirit Knight
94	12	30	14	83	1	//Spirit Knight
94	12	30	14	78	1	//Spirit Knight
94	12	30	15	78	1	//Spirit Knight
94	12	30	16	80	1	//Spirit Knight
94	12	30	15	62	1	//Spirit Knight
94	12	30	17	83	1	//Spirit Knight
94	12	30	14	90	1	//Spirit Knight
94	12	30	11	83	1	//Spirit Knight
94	12	30	15	94	1	//Spirit Knight
94	12	30	20	82	1	//Spirit Knight
94	12	30	20	88	1	//Spirit Knight
94	12	30	14	54	1	//Spirit Knight
94	12	30	14	36	1	//Spirit Knight
94	12	30	15	68	1	//Spirit Knight
94	12	30	20	88	1	//Spirit Knight
94	12	30	14	54	1	//Spirit Knight
94	12	30	14	36	1	//Spirit Knight
94	12	30	15	68	1	//Spirit Knight
94	12	30	14	47	1	//Spirit Knight
95	12	30	16	87	1	//Spirit Sorcerer
95	12	30	12	81	1	//Spirit Sorcerer
95	12	30	13	88	1	//Spirit Sorcerer
95	12	30	13	85	1	//Spirit Sorcerer
95	12	30	19	85	1	//Spirit Sorcerer
95	12	30	13	93	1	//Spirit Sorcerer
95	12	30	14	80	1	//Spirit Sorcerer
95	12	30	13	85	1	//Spirit Sorcerer
95	12	30	19	85	1	//Spirit Sorcerer
95	12	30	13	93	1	//Spirit Sorcerer
95	12	30	14	80	1	//Spirit Sorcerer
95	12	30	18	81	1	//Spirit Sorcerer
end							
//Blood Castle 3 Mobs (97 to 112)							
//Ident	Map	Radius	X	Y	Strong	Name	
4							
96	13	30	14	34	2	//Elite Skeleton	
96	13	30	14	38	2	//Elite Skeleton	
96	13	30	13	35	2	//Elite Skeleton	
96	13	30	13	28	2	//Elite Skeleton	
96	13	30	15	35	2	//Elite Skeleton	
96	13	30	14	33	2	//Elite Skeleton	
96	13	30	15	41	2	//Elite Skeleton	
96	13	30	14	42	2	//Elite Skeleton	
96	13	30	15	25	2	//Elite Skeleton	
96	13	30	15	23	2	//Elite Skeleton	
96	13	30	13	26	2	//Elite Skeleton	
96	13	30	14	42	2	//Elite Skeleton	
96	13	30	15	25	2	//Elite Skeleton	
96	13	30	15	23	2	//Elite Skeleton	
96	13	30	13	26	2	//Elite Skeleton	
96	13	30	13	37	2	//Elite Skeleton	
96	13	30	14	40	2	//Elite Skeleton	
96	13	30	13	39	2	//Elite Skeleton	
96	13	30	14	27	2	//Elite Skeleton	
96	13	30	14	24	2	//Elite Skeleton	
96	13	30	14	32	2	//Elite Skeleton	
96	13	30	15	45	2	//Elite Skeleton	
96	13	30	15	31	2	//Elite Skeleton	
97	13	30	13	45	2	//Orc Archer
97	13	30	13	23	2	//Orc Archer
97	13	30	15	43	2	//Orc Archer
97	13	30	15	39	2	//Orc Archer
97	13	30	15	37	2	//Orc Archer
97	13	30	13	29	2	//Orc Archer
97	13	30	15	28	2	//Orc Archer
97	13	30	13	25	2	//Orc Archer
97	13	30	15	37	2	//Orc Archer
97	13	30	13	29	2	//Orc Archer
97	13	30	15	28	2	//Orc Archer
97	13	30	13	25	2	//Orc Archer
97	13	30	13	21	2	//Orc Archer
97	13	30	14	22	2	//Orc Archer
97	13	30	15	21	2	//Orc Archer
97	13	30	13	31	2	//Orc Archer
97	13	30	15	30	2	//Orc Archer
97	13	30	15	33	2	//Orc Archer
97	13	30	14	21	2	//Orc Archer
97	13	30	13	43	2	//Orc Archer
97	13	30	15	26	2	//Orc Archer
98	13	30	15	46	2	//Elite Orc
98	13	30	15	63	2	//Elite Orc
98	13	30	15	53	2	//Elite Orc
98	13	30	13	65	2	//Elite Orc
98	13	30	13	67	2	//Elite Orc
98	13	30	15	59	2	//Elite Orc
