// Column1 option add images
// Ex: |1|1|Kris|1|2|NO|NO| 	==> option IMG => [0100100]
// Ex: 20|2|2|Kris|1|2|NO|NO| 	==> option IMG => [0100220]
// Ex: 0002200|0|22|Kris|1|2|NO|NO| 	==> option IMG => [0002200]
// Column1|TP|ID|NAME|X|Y|SetItem1|SetItem2
0000000|0|0|Kris|1|2|NO|NO|
|0|110|Egypt Master Sword|2|4|NO|NO
|0|111|Thunder Slasher|2|4|NO|NO
|0|112|Ice Lord Sword|2|4|NO|NO
|0|113|Nakata Sword|2|4|NO|NO
|0|114|Aszmhodeus Keeper|2|4|NO|NO
|0|115|Star Stabber|2|4|NO|NO
|0|116|Ceremony Sword|2|4|NO|NO
|0|117|Sword of xLIANGx|2|4|NO|NO
//---------------------------------
0100000|1|0|Small Axe|1|3|NO|NO
0100100|1|1|Hand Axe|1|3|NO|NO
0100200|1|2|Double Axe|1|3|NO|NO
0100300|1|3|Tomahawk|1|3|NO|NO
0100400|1|4|Elven Axe|1|3|NO|NO
0100500|1|5|Battle Axe|2|3|NO|NO
0100600|1|6|Nikea Axe|2|3|NO|NO
0100700|1|7|Larkan Axe|2|3|NO|NO
0100800|1|8|Crescent Axe|2|3|NO|NO
0100900|1|9|Quarter Axe|2|3|NO|NO
0101000|1|10|Gothic Axe|2|3|NO|NO
0101200|1|12|Balanced Axe|2|3|NO|NO
0101300|1|13|Throwing Axe|2|3|NO|NO
0101400|1|14|Military Axe|2|3|NO|NO
0101500|1|15|Beared Axe|2|3|NO|NO
0101600|1|16|Crowbill Axe|2|3|NO|NO
0101700|1|17|Hatchet Axe|2|3|NO|NO
0101800|1|18|Spiked Axe|2|3|NO|NO
0101900|1|19|Battlers Axe|2|3|NO|NO
0102000|1|20|Voulge Axe|2|3|NO|NO
0102100|1|21|Trident Axe|2|3|NO|NO
0102200|1|22|War Pike Axe|2|3|NO|NO
0102300|1|23|Durotar Axe|2|3|NO|NO
0102400|1|24|Tanaris Axe|2|3|NO|NO
0102500|1|25|Teldrassil Axe|2|3|NO|NO
0102600|1|26|Tirisfal Glades Axe|2|3|NO|NO
0102700|1|27|Forest Axe|2|3|NO|NO
0102800|1|28|Herbalism Axe|2|3|NO|NO
0102900|1|29|Shaman Axe|2|3|NO|NO
0103000|1|30|Warlock Axe|2|3|NO|NO
0103100|1|31|Paladin Axe|2|3|NO|NO
0103200|1|32|Gnome Axe|2|3|NO|NO
|1|100|Axe of Werewolf|2|3|NO|NO
|1|101|Dwarven Hatchet|2|3|NO|NO
//---------------------------------
0200000|2|0|Mace|1|3|NO|NO
0200100|2|1|Morning Star|1|3|Warrior|NO
0200200|2|2|Flail|1|3|NO|NO
0200300|2|3|WarHammer|2|3|NO|NO
0200400|2|4|Crystal Morning|2|3|NO|NO
0200500|2|5|Crystal Sword|2|4|NO|NO
0200600|2|6|Dragon Axe|2|4|NO|NO
0200700|2|7|Divine Mace|1|3|NO|NO
0200800|2|8|Battle Scepter|1|3|NO|NO
0200900|2|9|Master Scepter|1|3|NO|NO
0201000|2|10|Great Scepter|1|4|NO|NO
0201100|2|11|Lord Scepter|1|4|NO|NO
0201200|2|12|Great Lord Scepter|1|4|NO|NO
0201300|2|13|Divine Scepter|1|4|NO|NO
0201400|2|14|Soley Scepter|1|4|NO|NO
0201500|2|15|Shining Scepter|1|4|NO|NO
0201600|2|16|Frost Mace|1|3|NO|NO
0201700|2|17|Absolute Scepter|1|4|NO|NO
0201800|2|18|Stryker Scepter|1|4|NO|NO
|2|100|Divine Crusher|2|4|NO|NO
|2|101|Haste Bringer|2|4|NO|NO
|2|102|Skull Crusher|3|4|NO|NO
|2|103|Steelspark Scepter|1|4|NO|NO
|2|104|Torturer's Mercy|1|3|NO|NO
|2|105|Imperial Scepter|2|4|NO|NO
|2|106|xThunderBolt|1|4|NO|NO
|2|107|xHorn of Steel|1|4|NO|NO
|2|108|Magma Forged Mace|1|2|NO|NO
|2|109|Puidedrac's Soul Ripper|2|4|NO|NO
|2|110|Hexa Scepter|1|3|NO|NO
//---------------------------------
0300000|3|0|Light Spear|2|4|NO|NO
0300100|3|1|Spear|2|4|NO|NO
0300200|3|2|Dragon Lance|2|4|NO|NO
0300300|3|3|Great Trident|2|4|NO|NO
0300400|3|4|Serpent Spear|2|4|NO|NO
0300500|3|5|Double Poleaxe|2|4|NO|NO
0300600|3|6|Halberd|2|4|NO|NO
0300700|3|7|Berdysh|2|4|NO|NO
0300800|3|8|Great Scythe|2|4|NO|NO
0300900|3|9|Bill of Balrog|2|4|NO|NO
0301000|3|10|Dragon Spear|2|4|NO|NO
0301100|3|11|Beuroba Spear|2|4|NO|NO
|3|100|The Phoenix Spear|3|4|NO|NO
|3|101|Scythe of Sin|2|4|NO|NO
//---------------------------------
0400000|4|0|Short Bow|2|3|NO|NO
0400100|4|1|Bows|2|3|NO|NO
0400200|4|2|Elven Bow|2|3|NO|NO
0400300|4|3|Battle Bow|2|3|NO|NO
0400400|4|4|Tiger Bow|2|4|NO|NO
0400500|4|5|Silver Bow|2|4|Gaion|NO
0400600|4|6|Chaos Nature Bow|2|4|NO|NO
0400700|4|7|Bolts|1|1|NO|NO
0400800|4|8|CrossBow|2|2|NO|NO
0400900|4|9|Golden CrossBow|2|2|Gaia|NO
0401000|4|10|Arquebus CrossBow|2|2|NO|NO
0401100|4|11|Light CrossBow|2|3|NO|NO
0401200|4|12|Serpent Crossbow|2|3|NO|NO
0401300|4|13|Legend CrossBow|2|3|NO|NO
0401400|4|14|Aquas Gold CrossBow|2|3|NO|NO
0401500|4|15|Arrows|1|1|NO|NO
0401600|4|16|Saint CrossBow|2|4|NO|NO
0401700|4|17|Gigant Bow|2|4|NO|NO
0401800|4|18|Divine CrossBow|2|3|NO|NO
0401900|4|19|Great Reign CrossBow|2|3|NO|NO
0402000|4|20|Viper Bow|2|4|NO|NO
0402100|4|21|Sylph Wind Bow|2|4|NO|NO
0402200|4|22|Albatros Bow|2|4|NO|NO
0402300|4|23|Dark Stinger Bow|2|4|NO|NO
0402400|4|24|Atahar Bow|2|4|NO|NO
|4|100|Arrowsong Bow|1|2|NO|NO
|4|101|Astral Light Bow|1|2|NO|NO
|4|102|Angelic xBow|1|2|NO|NO
|4|103|Devil xCrossbow|1|2|NO|NO
//---------------------------------
0500000|5|0|Skull Staff|1|3|Apolo|NO
0500100|5|1|Angelic Staff|2|3|NO|NO
0500200|5|2|Serpent Staff|2|3|NO|NO
0500300|5|3|Lightning Staff|2|4|NO|NO
0500400|5|4|Gorgon Staff|2|4|NO|NO
0500500|5|5|Legendary Staff|1|4|NO|NO
0500600|5|6|Resurrection Staff|1|4|NO|NO
0500700|5|7|Chaos Lightning Staff|2|4|NO|NO
0500800|5|8|Unicorn Staff|2|4|NO|NO
0500900|5|9|Dragon Staff|1|4|NO|NO
0501000|5|10|Divine Staff|1|4|NO|NO
0501100|5|11|Kundun Staff|1|4|NO|NO
0501200|5|12|Viper Staff|1|4|NO|NO
0501300|5|13|Platina Wing Staff|1|4|NO|NO
0501400|5|14|Mistery Staff|1|4|NO|NO
0501500|5|15|Violent Wind Staff|1|4|NO|NO
0501600|5|16|Red Wing Staff|1|4|NO|NO
0501700|5|17|Ancient Staff|1|4|NO|NO
0501800|5|18|Black Rose Staff|1|4|NO|NO
0501900|5|19|Aura Staff|1|4|NO|NO
0502000|5|20|Lilium Staff|1|4|NO|NO
0502100|5|21|Book of Sahamutt|1|2|NO|NO
0502200|5|22|Book of Neil|1|2|NO|NO
0502300|5|23|Book of Ghost Phantom|1|2|NO|NO
0503000|5|30|Deadly Staff|1|4|NO|NO
0503100|5|31|Imperial Staff|1|4|NO|NO
0503200|5|32|Queen Staff|1|4|NO|NO
0503300|5|33|Chroma Staff|1|4|NO|NO
0503400|5|34|Raven Stick|1|4|NO|NO
0503500|5|35|Artemis Staff|1|4|NO|NO
0503600|5|36|Amaranth Staff|1|4|NO|NO
0503700|5|37|Dynasty Staff|1|4|NO|NO
0503900|5|39|Archment Staff|1|4|NO|NO
0504000|5|40|Shovel Staff|1|4|NO|NO
0504200|5|42|Scourge Staff|1|4|NO|NO
0504300|5|43|Scourgelord Staff|1|4|NO|NO
0504400|5|44|Azzinoth Staff|1|4|NO|NO
0504500|5|45|Thunderfury Staff|1|4|NO|NO
0504600|5|46|Windseeker Staff|1|4|NO|NO
0504700|5|47|Ragnaros Staff|1|4|NO|NO
0504800|5|48|Divine Stick of Archangel|1|4|NO|NO
|5|100|Pharaoh Staff|1|3|NO|NO
|5|101|Ember Stone Staff|2|4|NO|NO
|5|102|Spire of Defiance|2|4|NO|NO
|5|103|Shaman Stick|1|3|NO|NO
|5|104|Arcane Stick|1|3|NO|NO
|5|105|Cerberus xStaff|1|3|NO|NO
|5|106|Miracle xStaff|1|3|NO|NO
|5|107|Summon Spirit xStick|1|3|NO|NO
|5|108|Santa's Staff|1|4|NO|NO
|5|109|Fog Staff|2|4|NO|NO
|5|110|Dark Witcher Stick|2|4|NO|NO
//---------------------------------
0600000|6|0|Round Shield|2|2|NO|NO
0600100|6|1|Horn Shield|2|2|NO|NO
0600200|6|2|Kite Shield|2|2|NO|NO
0600300|6|3|Fairy Shield|2|2|NO|NO
0600400|6|4|Buckler Shield|2|2|NO|NO
0600500|6|5|Dragon Slayer Shield|2|2|NO|NO
0600600|6|6|Skull Shield|2|2|Hera|NO
0600700|6|7|Spike Shield|2|2|NO|NO
0600800|6|8|Tower Shield|2|2|NO|NO
0600900|6|9|Plate Shield|2|2|Eplete|NO
0601000|6|10|Big Round Shield|2|2|NO|NO
0601100|6|11|Serpent Shield|2|2|NO|NO
0601200|6|12|Bronze Shield|2|2|NO|NO
0601300|6|13|Dragon Shield|2|2|NO|NO
0601400|6|14|Legendary Shield|2|3|NO|NO
0601500|6|15|Grand Soul Shield|2|3|NO|NO
0601600|6|16|Elemental Shield|2|2|NO|NO
0601700|6|17|Crimson Glory Shiled|2|2|NO|NO
0601800|6|18|Salamander Shield|2|2|NO|NO
0601900|6|19|Frost Shiled|2|2|NO|NO
0602000|6|20|Guardian Shiled|2|2|NO|NO
0602100|6|21|Cross Shiled|2|2|NO|NO
0602300|6|23|Union Shield|2|3|NO|NO
0602400|6|24|Dynasty Shield|2|3|NO|NO
0602500|6|25|Darknut Shield|2|3|NO|NO
0602600|6|26|Kaito Shield|2|3|NO|NO
0602700|6|27|Guard Shield|2|3|NO|NO
0602800|6|28|Emerald Shield|2|3|NO|NO
0602900|6|29|Gunzbound Shield|2|3|NO|NO
0603000|6|30|Flyff Shield|2|3|NO|NO
0603100|6|31|Pirates Shield|2|3|NO|NO
0603200|6|32|Priston Shield|2|3|NO|NO
0603300|6|33|Ragnarok Shield|2|3|NO|NO
0603400|6|34|Shaiya Shield|2|3|NO|NO
0603500|6|35|Arcanus Shield|2|3|NO|NO
0603600|6|36|DarkSoldier Shield|2|3|NO|NO
|6|100|Cerberus xShield|2|2|NO|NO
|6|101|Embisyeon xShield|2|2|NO|NO
|6|102|Hell Knight xShield|2|2|NO|NO
|6|103|Lazy Wing xShield|2|2|NO|NO
|6|104|Enchanter Shield|2|2|NO|NO
|6|105|Raven Lord Shield|2|2|NO|NO
|6|106|Mask Shield|2|2|NO|NO
|6|107|Gladiator Shield|2|2|NO|NO
|6|108|Royal Wizzard Shield|2|3|NO|NO
|6|109|Frost Lord Shield|2|2|NO|NO
|6|110|Magical Blocker|2|2|NO|NO
//---------------------------------
0700000|7|0|Bronze Helm|2|2|NO|NO
0700100|7|1|Dragon Helm|2|2|Hyon|Vicious
0700200|7|2|Pad Helm|2|2|Apolo|NO
0700300|7|3|Legendary Helm|2|2|Anubis|Isis
0700400|7|4|Bone Helm|2|2|NO|NO
0700500|7|5|Leather Helm|2|2|Warrior|NO
0700600|7|6|Scale Helm|2|2|Eplete|NO
0700700|7|7|Sphinx Helm|2|2|Hera|NO
0700800|7|8|Brass Helm|2|2|NO|NO
0700900|7|9|Plate Helm|2|2|NO|NO
0701000|7|10|Vine Helm|2|2|Ceto|NO
0701100|7|11|Silk Helm|2|2|Gaia|NO
0701200|7|12|Wind Helm|2|2|Odin|NO
0701300|7|13|Spirit Helm|2|2|NO|NO
0701400|7|14|Guardian Helm|2|2|NO|Aruane
0701500|7|15|Unicorn Helm (No Visual)|2|2|NO|NO
0701600|7|16|Black Dragon Helm|2|2|NO|NO
0701700|7|17|Phoenix Helm|2|2|NO|NO
0701800|7|18|Grand Soul Helm|2|2|NO|NO
0701900|7|19|Holysprit Helm|2|2|NO|NO
0702000|7|20|Thunder Helm (No Visual)|2|2|NO|NO
0702100|7|21|Great Dragon Helm|2|2|NO|NO
0702200|7|22|Black Soul Helm|2|2|NO|NO
0702300|7|23|Hurricane Helm (No Visual)|2|2|NO|NO
0702400|7|24|Red Spirit Helm|2|2|NO|NO
0702500|7|25|Round Helm|2|2|NO|NO
0702600|7|26|Adamantine Helm|2|2|Agnis|NO
0702700|7|27|Dark Steel Helm|2|2|NO|NO
0702800|7|28|Dark Master Helm|2|2|NO|NO
0702900|7|29|Dragon Knight Helm|2|2|NO|NO
0703000|7|30|Venom Mist Helm|2|2|NO|NO
0703100|7|31|Sylpid Ray Helm|2|2|NO|NO
0703200|7|32|Volcano Helm (No Visual)|2|2|NO|NO
0703300|7|33|Sunlight Helm|2|2|NO|NO
0703400|7|34|Ashcrow Helm|2|2|NO|NO
0703500|7|35|Eclips Helm|2|2|NO|NO
0703600|7|36|Iris Helm|2|2|NO|NO
0703700|7|37|Valiant Helm (No Visual)|2|2|NO|NO
0703800|7|38|Glorius Helm|2|2|NO|NO
0703900|7|39|Mistery Helm|2|2|NO|NO
0704000|7|40|Red Wing Helm|2|2|Krono|Semeden
0704100|7|41|Ancient Helm|2|2|NO|NO
0704200|7|42|Black Rose Helm|2|2|NO|NO
0704300|7|43|Aura Helm|2|2|NO|NO
0704400|7|44|Lilium Helm|2|2|NO|NO
0704500|7|45|Titan Helm|2|2|NO|NO
0704600|7|46|Brave Helm|2|2|NO|NO
0704700|7|47|Phantom Helm (No Visual)|2|2|NO|NO
0704800|7|48|Destroyer Helm (No Visual)|2|2|NO|NO
0704900|7|49|Seraphim Helm|2|2|NO|NO
0705000|7|50|Divine Helm|2|2|NO|NO
0705100|7|51|Kings Helm|2|2|NO|NO
0705200|7|52|Hades Helm|2|2|NO|NO
0705300|7|53|Queen Helm|2|2|NO|NO
0705400|7|54|No Item Display|2|2|NO|NO
0705500|7|55|No Item Display|2|2|NO|NO
0705600|7|56|No Item Display|2|2|NO|NO
0705700|7|57|No Item Display|2|2|NO|NO
0705800|7|58|No Item Display|2|2|NO|NO
0705900|7|59|Sacred Helm|2|2|Vega's|NO
0706000|7|60|Storm Hard Helm|2|2|NO|NO
0706100|7|61|Piercing Helm|2|2|NO|NO
0706200|7|62|No Item Display|2|2|NO|NO
0706300|7|63|No Item Display|2|2|NO|NO
0706400|7|64|No Item Display|2|2|NO|NO
0706500|7|65|No Item Display|2|2|NO|NO
0706600|7|66|No Item Display|2|2|NO|NO
0706700|7|67|No Item Display|2|2|NO|NO
0706800|7|68|No Item Display|2|2|NO|NO
0706900|7|69|No Item Display|2|2|NO|NO
0707000|7|70|No Item Display|2|2|NO|NO
0707100|7|71|No Item Display|2|2|NO|NO
0707200|7|72|No Item Display|2|2|NO|NO
0707300|7|73|No Item Display|2|2|NO|NO
0707400|7|74|Storm Hard V1 Helm|2|2|NO|NO
0707500|7|75|Aramis Helm|2|2|Eden|NO
0707600|7|76|Darkness Skull Helm|2|2|NO|NO
0707700|7|77|Gohan Helm|2|2|NO|NO
0707800|7|78|Proteus Helm|2|2|NO|NO
0707900|7|79|Plutonium Helm|2|2|NO|NO
0708000|7|80|Gogeta SSJ5 Helm|2|2|NO|NO
0708100|7|81|Gogeta SSJ4 Helm|2|2|NO|NO
0708200|7|82|No Item Display|2|2|NO|NO
0708300|7|83|Vegeta SSJ2 Helm|2|2|NO|NO
0708400|7|84|Vegeta Helm|2|2|NO|NO
0708500|7|85|Trunks Helm|2|2|NO|NO
0708600|7|86|Majin Boo Helm|2|2|NO|NO
0708700|7|87|Goku SSJ4 Helm|2|2|NO|NO
0708800|7|88|Goku SSJ2 Helm|2|2|NO|NO
0708900|7|89|Vegeta JR Helm|2|2|NO|NO
0709000|7|90|Ginyu Helm|2|2|NO|NO
0709100|7|91|Conqueror Helm|2|2|NO|NO
0709200|7|92|Sacred v1 Helm|2|2|NO|NO
0709300|7|93|Venture Helm|2|2|Gosen|NO
0709400|7|94|No Item Display|2|2|NO|NO
0709500|7|95|Piercing V1 Helm|2|2|NO|NO
0709600|7|96|No Item Display|2|2|NO|NO
0709700|7|97|No Item Display|2|2|NO|NO
0709800|7|98|Zilant Helm|2|2|NO|NO
0709900|7|99|Morph Helm|2|2|NO|NO
0710000|7|100|Ninja Gaiden Helm|2|2|NO|NO
0710100|7|101|King of Dragon Helm|2|2|NO|NO
0710200|7|102|No Item Display|2|2|NO|NO
0710300|7|103|Platinum Helm|2|2|NO|NO
0710400|7|104|No Item Display|2|2|NO|NO
0710500|7|105|Chaos Helm|2|2|NO|NO
0710600|7|106|Hannibal Helm|2|2|NO|NO
0710700|7|107|King Skull Helm|2|2|Taroseu's|NO
0710800|7|108|Balgass Helm|2|2|NO|NO
0710900|7|109|Monarch Helm|2|2|Areli|NO
0711000|7|110|Tutankamon Helm|2|2|NO|NO
0711100|7|111|Pallas Helm|2|2|NO|NO
0711200|7|112|Sacred v2 Helm|2|2|NO|NO
0711300|7|113|No Item Display|2|2|NO|NO
0711400|7|114|Valkyrias Helm|2|2|NO|NO
0711500|7|115|Black Fenrir Helm|2|2|Ruben|NO
0711600|7|116|Thunder Heavy Helm|2|2|NO|NO
0711700|7|117|Alien Helm|2|2|NO|NO
0711800|7|118|Midgard Helm|2|2|NO|NO
0711900|7|119|Thunder Skull Helm|2|2|NO|NO
0712000|7|120|High Shamal Helm|2|2|Esto|NO
0712100|7|121|Quarter Master Helm|2|2|Sihem|NO
0712200|7|122|Kentauros Helm|2|2|NO|NO
0712300|7|123|DarkBone Helm|2|2|NO|NO
0712400|7|124|Thanatos Helm|2|2|Het|NO
0712500|7|125|Insect Queen Helm|2|2|NO|NO
0712600|7|126|Regal Dragon Knight Helm|2|2|Ultimate|NO
0712700|7|127|Antaras Helm|2|2|NO|NO
0712800|7|128|Cyrious Helm|2|2|NO|NO
0712900|7|129|Piercing v2 Helm|2|2|NO|NO
0713000|7|130|Doom Helm|2|2|NO|NO
0713100|7|131|Centaurus Helm|2|2|Hebro|NO
0713200|7|132|Tectonic Helm|2|2|NO|NO
0713300|7|133|Arcane Helm|2|2|NO|NO
0713400|7|134|Shadow Helm|2|2|Moros's|NO
0713500|7|135|Charmant Helm|2|2|NO|NO
0713600|7|136|Astral Helm|2|2|Pio|NO
0713700|7|137|Impulse Helm|2|2|Eufrat|NO
0713800|7|138|Eternity Helm|2|2|NO|NO
0713900|7|139|Quirinus Helm|2|2|NO|NO
0714000|7|140|Agamemnon Helm|2|2|Army's|NO
0714100|7|141|Drakon Helm|2|2|NO|NO
0714200|7|142|Rhapsody Helm|2|2|NO|NO
0714300|7|143|Vegeta SSJ4 Helm|2|2|NO|NO
0714400|7|144|Cell Helm|2|2|NO|NO
0714500|7|145|Bloody Soldier Helm|2|2|NO|NO
0714600|7|146|Century Helm|2|2|Karm|NO
0714700|7|147|Falch Helm|2|2|Ohad|NO
0714800|7|148|Dark Dimention Helm|2|2|NO|NO
0714900|7|149|BloodThirsty Helm|2|2|NO|NO
0715000|7|150|Regal Titan Helm|2|2|NO|NO
0715100|7|151|Hell Red Helm|2|2|NO|NO
0715200|7|152|Death Helm|2|2|NO|NO
0715300|7|153|Aiakos Helm|2|2|NO|NO
0715400|7|154|Storm Hard v2 Helm|2|2|NO|NO
0715500|7|155|Andromeda Helm|2|2|NO|NO
0715600|7|156|Shina Helm|2|2|NO|NO
0715700|7|157|Death Cancer Helm|2|2|NO|NO
0715800|7|158|Hyoga Helm|2|2|NO|NO
0715900|7|159|Aldebaran Helm|2|2|NO|NO
0716000|7|160|Sagittarius Helm|2|2|NO|NO

//---------------------------------
0800000|8|0|Bronze Armor|2|2|Hyperio|NO
0800100|8|1|Dragon Armor|2|3|NO|Vicious
0800200|8|2|Pad Armor|2|2|Apolo|NO
0800300|8|3|Legendary Armor|2|2|Anubis|Isis
0800400|8|4|Bone Armor|2|2|Evis|NO
0800500|8|5|Leather Armor|2|3|Warrior|NO
0800600|8|6|Scale Armor|2|2|Eplete|NO
0800700|8|7|Sphinx Armor|2|3|Hera|NO
0800800|8|8|Brass Armor|2|2|Garuda|NO
0800900|8|9|Plate Armor|2|2|Kantata|NO
0801000|8|10|Vine Armor|2|2|NO|NO
0801100|8|11|Silk Armor|2|2|Gaia|NO
0801200|8|12|Wind Armor|2|2|Odin|NO
0801300|8|13|Spirit Armor|2|2|Argon|NO
0801400|8|14|Guardian Armor|2|2|Gywen|Aruane
0801500|8|15|Unicorn Armor|2|3|Gaion|Muren
0801600|8|16|Black Dragon Armor|2|3|NO|NO
0801700|8|17|Phoenix Armor|2|3|NO|NO
0801800|8|18|Grand Soul Armor|2|3|NO|NO
0801900|8|19|Holysprit Armor|2|2|NO|NO
0802000|8|20|Thunder Armor|2|3|NO|NO
0802100|8|21|Great Dragon Armor|2|3|NO|NO
0802200|8|22|Black Soul Armor|2|3|NO|NO
0802300|8|23|Hurricane Armor|2|3|NO|NO
0802400|8|24|Red Spirit Armor|2|2|NO|NO
0802500|8|25|Round Armor|2|3|NO|NO
0802600|8|26|Adamantine Armor|2|3|Agnis|NO
0802700|8|27|Dark Steel Armor|2|3|NO|NO
0802800|8|28|Dark Master Armor|2|3|NO|NO
0802900|8|29|Dragon Knight Armor|2|3|NO|NO
0803000|8|30|Venom Mist Armor|2|3|NO|NO
0803100|8|31|Sylpid Ray Armor|2|3|NO|NO
0803200|8|32|Volcano Armor|2|3|NO|NO
0803300|8|33|Sunlight Armor|2|3|NO|NO
0803400|8|34|Ashcrow Armor|2|3|NO|NO
0803500|8|35|Eclips Armor|2|3|NO|NO
0803600|8|36|Iris Armor|2|3|NO|NO
0803700|8|37|Valiant Armor|2|3|NO|NO
0803800|8|38|Glorius Armor|2|3|NO|NO
0803900|8|39|Mistery Armor|2|2|NO|NO
0804000|8|40|Red Wing Armor|2|2|NO|Semeden
0804100|8|41|Ancient Armor|2|2|NO|NO
0804200|8|42|Black Rose Armor|2|2|NO|NO
0804300|8|43|Aura Armor|2|2|NO|NO
0804400|8|44|Lilium Armor|2|2|NO|NO
0804500|8|45|Titan Armor|2|3|NO|NO
0804600|8|46|Brave Armor|2|3|NO|NO
0804700|8|47|Phantom Armor|2|3|NO|NO
0804800|8|48|Destroyer Armor|2|3|NO|NO
0804900|8|49|Seraphim Armor|2|2|NO|NO
0805000|8|50|Divine Armor|2|2|NO|NO
0805100|8|51|Kings Armor|2|3|NO|NO
0805200|8|52|Hades Armor|2|3|NO|NO
0805300|8|53|Queen Armor|2|3|NO|NO
0805400|8|54|No Item Display|2|2|NO|NO
0805500|8|55|No Item Display|2|2|NO|NO
0805600|8|56|No Item Display|2|2|NO|NO
0805700|8|57|No Item Display|2|2|NO|NO
0805800|8|58|No Item Display|2|2|NO|NO
0805900|8|59|Sacred Armor|2|3|Vega's|Chamereuui's
0806000|8|60|Storm Hard Armor|2|3|NO|NO
0806100|8|61|Piercing Armor|2|3|NO|NO
|8|62|Scale Armor|2|2|NO|NO
